國家,幣別,ISO
中華民國,新台幣,TWD
美國,美元,USB
薩爾瓦多,美元,USB
厄瓜多爾,美元,USB
帛琉,美元,USB
英國,英鎊,GBP
日本,日幣,JPY
澳洲,澳幣,AUD
吉里巴斯,澳幣,AUD
諾魯,澳幣,AUD
吐瓦魯,澳幣,AUD
香港,港幣,HKD
紐西蘭,紐幣,NZD
南非,南非幣,ZAR
愛沙尼亞,歐元,EUR
愛爾蘭,歐元,EUR
安道爾,歐元,EUR
奧地利,歐元,EUR
德國,歐元,EUR
比利時,歐元,EUR
法國,歐元,EUR
盧森堡,歐元,EUR
斯洛伐克,歐元,EUR
荷蘭,歐元,EUR
賽普勒斯,歐元,EUR
聖馬利諾,歐元,EUR
葡萄牙,歐元,EUR
西班牙,歐元,EUR
希臘,歐元,EUR
拉脫維亞,歐元,EUR
摩納哥,歐元,EUR
義大利,歐元,EUR
立陶宛,歐元,EUR
不丹,美元,USB
中國大陸,人民幣,CNY
中非共和國,美元,USB
丹麥,美元,USB
以色列,美元,USB
伊拉克,美元,USB
伊朗,美元,USB
俄羅斯,美元,USB
保加利亞,美元,USB
克羅埃西亞,美元,USB
冰島,美元,USB
列支敦斯登,美元,USB
利比亞,美元,USB
剛果共和國,美元,USB
加彭,美元,USB
加拿大,美元,USB
匈牙利,美元,USB
北韓,美元,USB
千里達及托貝哥,美元,USB
南斯拉夫,美元,USB
南葉門,美元,USB
卡達,美元,USB
印尼,美元,USB
印度,美元,USB
古巴,美元,USB
史瓦濟蘭,美元,USB
吉布地,美元,USB
哥倫比亞,美元,USB
哥斯達黎加,美元,USB
喀麥隆,美元,USB
土耳其,美元,USB
坦桑尼亞,美元,USB
埃及,美元,USB
塞內加爾,美元,USB
塞席爾,美元,USB
墨西哥,美元,USB
多哥,美元,USB
多明尼加,美元,USB
大溪地,美元,USB
奈及利亞,美元,USB
委內瑞拉,美元,USB
孟加拉,美元,USB
安哥拉,美元,USB
宏都拉斯,美元,USB
密克羅尼西亞,美元,USB
寮國,美元,USB
尚比亞,美元,USB
尼加拉瓜,美元,USB
尼日,美元,USB
尼泊爾,美元,USB
巴哈馬,美元,USB
巴基斯坦,美元,USB
巴布亞新幾內亞,美元,USB
巴拉圭,美元,USB
巴拿馬,美元,USB
巴林,美元,USB
巴西,美元,USB
巴貝多,美元,USB
布吉納法索,美元,USB
帝汶,美元,USB
幾內亞,美元,USB
幾內亞比索,美元,USB
挪威,美元,USB
捷克,美元,USB
摩洛哥,美元,USB
摩爾多瓦,美元,USB
敘利亞,美元,USB
教廷,美元,USB
斯洛凡尼亞,美元,USB
斯里蘭卡,美元,USB
新加坡,美元,USB
智利,美元,USB
東加,美元,USB
東德,美元,USB
查德,美元,USB
柬埔寨,美元,USB
格瑞那達,美元,USB
模里西斯,美元,USB
汶萊,美元,USB
沙烏地阿拉伯,美元,USB
波士尼亞,美元,USB
波札那,美元,USB
波蘭,美元,USB
泰國,美元,USB
海地,美元,USB
澳門,美元,USB
烏克蘭,美元,USB
烏干達,美元,USB
烏拉圭,美元,USB
牙買加,美元,USB
獅子山,美元,USB
玻利維亞,美元,USB
瑞典,美元,USB
瑞士,美元,USB
瓜地馬拉,美元,USB
甘比亞,美元,USB
留尼旺,美元,USB
白俄羅斯,美元,USB
百慕達,美元,USB
盧安達,美元,USB
科威特,美元,USB
秘魯,美元,USB
突尼西亞,美元,USB
約旦,美元,USB
索羅門群島,美元,USB
索馬利亞,美元,USB
維德角島,美元,USB
緬甸,美元,USB
羅馬尼亞,美元,USB
聖克里斯多福,美元,USB
聖多美及普林西比,美元,USB
聖文森,美元,USB
聖露西亞,美元,USB
肯亞,美元,USB
芬蘭,美元,USB
莫三鼻克,美元,USB
菲律賓,美元,USB
萬那杜,美元,USB
葉門,美元,USB
葛摩,美元,USB
蒙古,美元,USB
蓋亞納,美元,USB
蘇丹,美元,USB
蘇利南,美元,USB
衣索匹亞,美元,USB
裴濟,美元,USB
西撒哈拉,美元,USB
象牙海岸,美元,USB
貝南,美元,USB
貝里斯,美元,USB
賴比瑞亞,美元,USB
賴索托,美元,USB
赤道幾內亞,美元,USB
越南,美元,USB
辛巴威,美元,USB
迦納,美元,USB
阿富汗,美元,USB
阿拉伯聯合大公國,美元,USB
阿曼,美元,USB
阿根廷,美元,USB
阿爾及利亞,美元,USB
阿爾巴尼亞,美元,USB
韓國,美元,USB
馬來西亞,美元,USB
馬其頓,美元,USB
馬利,美元,USB
馬拉加西,美元,USB
馬拉威,美元,USB
馬爾他,美元,USB
馬爾地夫,美元,USB
馬紹爾,美元,USB
黎巴嫩,美元,USB

